date,count
2022-06-09T17:05:45.023414,9
2022-06-09T17:05:50.005424,9
2022-06-09T17:06:00.004604,9
2022-06-09T17:06:10.003330,9
2022-06-09T17:06:20.005425,9
2022-06-09T17:06:30.000324,9
2022-06-09T17:06:40.005452,9
2022-06-09T17:06:50.005449,9
2022-06-09T17:07:00.001651,9
2022-06-09T17:07:10.005271,9
2022-06-09T17:07:20.000499,9
2022-06-09T17:07:30.000597,9
2022-06-09T17:07:40.005287,9
2022-06-09T17:07:50.004727,9
2022-06-09T17:08:00.000848,9
2022-06-09T17:08:10.000932,9
2022-06-09T17:08:20.004867,9
2022-06-09T17:08:30.002593,9
2022-06-09T17:08:40.004764,9
2022-06-09T17:08:50.001955,9
2022-06-09T17:09:00.000726,9
2022-06-09T17:09:10.000819,9
2022-06-09T17:09:20.002815,9
2022-06-09T17:09:30.002123,9
2022-06-09T17:09:40.003916,9
2022-06-09T17:09:50.006308,9
2022-06-09T17:10:00.004069,9
2022-06-09T17:10:10.005470,9
2022-06-09T17:10:20.004768,9
2022-06-09T17:10:30.004232,9
2022-06-09T17:10:40.004380,9
2022-06-09T17:10:50.000595,9
2022-06-09T17:11:00.003211,9
2022-06-09T17:11:10.002900,9
2022-06-09T17:11:20.004246,9
2022-06-09T17:11:30.003530,9
2022-06-09T17:11:40.003054,9
2022-06-09T17:11:50.004034,9
2022-06-09T17:12:00.003887,9
2022-06-09T17:12:10.004728,9
2022-06-09T17:12:20.000409,9
2022-06-09T17:12:30.004915,9
2022-06-09T17:12:40.004600,9
2022-06-09T17:12:50.002880,9
2022-06-09T17:13:00.004890,9
2022-06-09T17:13:10.002587,9
2022-06-09T17:13:20.004663,9
2022-06-09T17:13:30.004900,9
2022-06-09T17:13:40.001211,9
2022-06-09T17:13:50.004433,9
2022-06-09T17:14:00.005410,9
2022-06-09T17:14:10.003684,9
2022-06-09T17:14:20.003987,9
2022-06-09T17:14:30.003243,9
2022-06-09T17:14:40.004433,9
2022-06-09T17:14:50.000297,9
2022-06-09T17:15:00.004996,9
2022-06-09T17:15:10.002317,9
2022-06-09T17:15:20.004936,9
2022-06-09T17:15:30.001471,9
2022-06-09T17:15:40.004511,9
2022-06-09T17:15:50.000211,9
2022-06-09T17:16:00.004535,9
2022-06-09T17:16:10.004254,9
2022-06-09T17:16:20.004273,9
2022-06-09T17:16:30.004919,9
2022-06-09T17:16:40.004251,9
2022-06-09T17:16:50.004931,9
2022-06-09T17:17:00.005083,9
2022-06-09T17:17:10.004741,9
2022-06-09T17:17:20.004620,9
2022-06-09T17:17:30.003667,9
2022-06-09T17:17:40.004509,9
2022-06-09T17:17:50.003130,9
2022-06-09T17:18:00.003921,9
2022-06-09T17:18:10.004834,9
2022-06-09T17:18:20.004060,9
2022-06-09T17:18:30.002553,9
2022-06-09T17:18:40.005177,9
2022-06-09T17:18:50.002314,9
2022-06-09T17:19:00.000918,9
2022-06-09T17:19:10.005373,9
2022-06-09T17:19:20.002226,9
2022-06-09T17:19:30.004282,9
2022-06-09T17:19:40.004663,9
2022-06-09T17:19:50.004485,9
2022-06-09T17:20:00.004576,9
2022-06-09T17:20:10.003792,9
2022-06-09T17:20:20.004030,9
2022-06-09T17:20:30.003841,9
2022-06-09T17:20:40.004961,9
2022-06-09T17:20:50.005085,9
2022-06-09T17:21:00.003608,9
2022-06-09T17:21:10.004246,9
2022-06-09T17:21:20.005000,9
2022-06-09T17:21:30.003744,9
2022-06-09T17:21:40.004929,9
2022-06-09T17:21:50.005030,9
2022-06-09T17:22:00.005134,9
2022-06-09T17:22:10.003772,9
2022-06-09T17:22:20.005192,9
2022-06-09T17:22:30.004016,9
2022-06-09T17:22:40.004852,9
2022-06-09T17:22:50.004862,9
2022-06-09T17:23:00.004967,9
2022-06-09T17:23:10.004466,9
2022-06-09T17:23:20.005312,9
2022-06-09T17:23:30.004705,9
2022-06-09T17:23:40.005085,9
2022-06-09T17:23:50.004849,9
2022-06-09T17:24:00.005446,9
2022-06-09T17:24:10.004111,9
2022-06-09T17:24:20.005253,9
2022-06-09T17:24:30.004750,9
2022-06-09T17:24:40.004211,9
2022-06-09T17:24:50.004603,9
2022-06-09T17:25:00.004600,9
2022-06-09T17:25:10.005245,9
2022-06-09T17:25:20.004732,9
2022-06-09T17:25:30.004572,9
2022-06-09T17:25:40.004726,8
2022-06-09T17:25:50.004774,8
2022-06-09T17:26:00.004708,8
2022-06-09T17:26:10.004888,8
2022-06-09T17:26:20.005063,8
2022-06-09T17:26:30.005131,7
2022-06-09T17:26:40.005012,7
2022-06-09T17:26:50.005134,7
2022-06-09T17:27:00.005100,7
2022-06-09T17:27:10.005291,7
2022-06-09T17:27:20.005290,7
2022-06-09T17:27:30.003711,7
2022-06-09T17:27:40.003069,7
2022-06-09T17:27:50.006033,7
2022-06-09T17:28:00.004539,7
2022-06-09T17:28:10.002697,7
2022-06-09T17:28:20.005002,7
2022-06-09T17:28:30.004588,7
2022-06-09T17:28:40.003156,7
2022-06-09T17:28:50.004357,7
2022-06-09T17:29:00.004895,7
2022-06-09T17:29:10.002248,8
2022-06-09T17:29:20.003846,8
2022-06-09T17:29:30.005241,8
2022-06-09T17:29:40.003973,8
2022-06-09T17:29:50.003582,8
2022-06-09T17:30:00.004148,8
2022-06-09T17:30:10.003434,8
2022-06-09T17:30:20.003208,8
2022-06-09T17:30:30.003434,8
2022-06-09T17:30:40.004732,8
2022-06-09T17:30:50.003622,8
2022-06-09T17:31:00.004151,8
2022-06-09T17:31:10.005185,8
2022-06-09T17:31:20.004140,8
2022-06-09T17:31:30.002328,8
2022-06-09T17:31:40.005264,8
2022-06-09T17:31:50.003790,8
2022-06-09T17:32:00.005011,8
2022-06-09T17:32:10.004465,8
2022-06-09T17:32:20.002304,8
2022-06-09T17:32:30.004375,8
2022-06-09T17:32:40.004157,8
2022-06-09T17:32:50.005120,8
2022-06-09T17:33:00.004659,8
2022-06-09T17:33:10.004769,8
2022-06-09T17:33:20.004594,8
2022-06-09T17:33:30.000975,8
2022-06-09T17:33:40.004537,8
2022-06-09T17:33:50.001214,8
2022-06-09T17:34:00.004669,8
2022-06-09T17:34:10.004923,8
2022-06-09T17:34:20.005115,8
2022-06-09T17:34:30.005072,8
2022-06-09T17:34:40.005358,8
2022-06-09T17:34:50.004540,8
2022-06-09T17:35:00.004172,8
2022-06-09T17:35:09.999960,8
2022-06-09T17:35:20.002410,8
2022-06-09T17:35:30.002934,8
2022-06-09T17:35:40.003521,8
2022-06-09T17:35:50.002717,8
2022-06-09T17:36:00.003496,8
2022-06-09T17:36:10.004645,8
2022-06-09T17:36:20.004323,8
2022-06-09T17:36:30.005299,8
2022-06-09T17:36:40.005011,8
2022-06-09T17:36:50.005089,8
2022-06-09T17:37:00.004961,8
2022-06-09T17:37:10.003569,8
2022-06-09T17:37:20.004816,8
2022-06-09T17:37:30.004699,8
2022-06-09T17:37:40.005147,8
