date,optics,simple,none
2022-06-06T19:19:00+02:00,202,38,46
2022-06-06T19:20:00+02:00,191,34,42
2022-06-06T19:21:00+02:00,203,34,42
2022-06-06T19:22:00+02:00,220,31,39
2022-06-06T19:23:00+02:00,188,30,38
2022-06-06T19:24:00+02:00,205,30,39
2022-06-06T19:25:00+02:00,185,31,39
2022-06-06T19:26:00+02:00,202,31,40
2022-06-06T19:27:00+02:00,203,30,39
2022-06-06T19:28:00+02:00,219,29,37
2022-06-06T19:29:00+02:00,180,27,35
2022-06-06T19:30:00+02:00,179,29,36
2022-06-06T19:31:00+02:00,199,28,35
2022-06-06T19:32:00+02:00,185,30,38
2022-06-06T19:33:00+02:00,172,26,32
2022-06-06T19:34:00+02:00,161,25,31
2022-06-06T19:35:00+02:00,168,25,31
2022-06-06T19:36:00+02:00,168,26,31
2022-06-06T19:37:00+02:00,166,24,31
2022-06-06T19:38:00+02:00,173,25,32
2022-06-06T19:39:00+02:00,166,29,36
2022-06-06T19:40:00+02:00,142,26,32
2022-06-06T19:41:00+02:00,160,24,28
2022-06-06T19:42:00+02:00,162,28,33
2022-06-06T19:43:00+02:00,160,27,33
2022-06-06T19:44:00+02:00,168,29,35
2022-06-06T19:45:00+02:00,175,30,36
2022-06-06T19:46:00+02:00,149,31,38
2022-06-06T19:47:00+02:00,145,30,36
2022-06-06T19:48:00+02:00,163,27,33
2022-06-06T19:49:00+02:00,166,27,33
2022-06-06T19:50:00+02:00,156,27,34
2022-06-06T19:51:00+02:00,157,28,33
2022-06-06T19:52:00+02:00,159,29,34
2022-06-06T19:53:00+02:00,152,30,35
2022-06-06T19:54:00+02:00,159,33,39
2022-06-06T19:55:00+02:00,174,30,36
2022-06-06T19:56:00+02:00,162,30,36
2022-06-06T19:57:00+02:00,163,31,37
2022-06-06T19:58:00+02:00,168,34,39
2022-06-06T19:59:00+02:00,158,33,38
2022-06-06T20:00:00+02:00,165,36,41
2022-06-06T20:01:00+02:00,168,35,40
2022-06-06T20:02:00+02:00,174,33,37
2022-06-06T20:03:00+02:00,154,34,38
2022-06-06T20:04:00+02:00,170,33,36
2022-06-06T20:05:00+02:00,184,31,34
2022-06-06T20:06:00+02:00,159,29,32
2022-06-06T20:07:00+02:00,180,29,32
2022-06-06T20:08:00+02:00,173,27,30
2022-06-06T20:09:00+02:00,165,30,34
2022-06-06T20:10:00+02:00,157,26,30
2022-06-06T20:11:00+02:00,156,26,30
2022-06-06T20:12:00+02:00,163,28,32
2022-06-06T20:13:00+02:00,158,27,31
2022-06-06T20:14:00+02:00,164,27,31
2022-06-06T20:15:00+02:00,161,28,32
2022-06-06T20:16:00+02:00,159,25,29
2022-06-06T20:17:00+02:00,148,27,31
2022-06-06T20:18:00+02:00,165,28,32
2022-06-06T20:19:00+02:00,152,25,30
2022-06-06T20:20:00+02:00,150,27,32
2022-06-06T20:21:00+02:00,156,24,29
2022-06-06T20:22:00+02:00,155,23,28
2022-06-06T20:23:00+02:00,155,19,24
2022-06-06T20:24:00+02:00,168,18,23
2022-06-06T20:25:00+02:00,160,17,23
2022-06-06T20:26:00+02:00,162,17,23
2022-06-06T20:27:00+02:00,163,17,24
2022-06-06T20:28:00+02:00,153,17,23
2022-06-06T20:29:00+02:00,180,18,23
2022-06-06T20:30:00+02:00,171,20,25
2022-06-06T20:31:00+02:00,171,21,28
2022-06-06T20:32:00+02:00,166,23,28
2022-06-06T20:33:00+02:00,154,24,29
2022-06-06T20:34:00+02:00,165,26,31
2022-06-06T20:35:00+02:00,162,24,28
2022-06-06T20:36:00+02:00,163,28,33
2022-06-06T20:37:00+02:00,176,27,32
2022-06-06T20:38:00+02:00,180,28,32
2022-06-06T20:39:00+02:00,192,30,35
2022-06-06T20:40:00+02:00,181,31,35
2022-06-06T20:41:00+02:00,170,33,37
2022-06-06T20:42:00+02:00,171,31,35
2022-06-06T20:43:00+02:00,179,30,34
2022-06-06T20:44:00+02:00,171,31,36
2022-06-06T20:45:00+02:00,171,32,37
2022-06-06T20:46:00+02:00,179,28,34
2022-06-06T20:47:00+02:00,183,25,31
2022-06-06T20:48:00+02:00,190,26,32
2022-06-06T20:49:00+02:00,191,27,33
2022-06-06T20:50:00+02:00,195,26,32
2022-06-06T20:51:00+02:00,192,26,32
2022-06-06T20:52:00+02:00,58,58,58
